test_idx,best_mean,best_min,best_max,n_changed,n_pool_rows,candidate_id
1251,1.23567487672412,0.9782891399837248,1.9275773668129825,2,7,0.0
1253,0.4039977569010968,0.16647483249598172,0.7410937981981514,2,978,0.0
1266,3.472065171771741,3.051907872089486,3.820864613285268,2,372,0.0
1272,0.1462220862649128,0.01360544217687075,0.9659863945578232,1,467,0.0
1273,1.5394012510308634,1.0454674389923047,1.964164267849113,2,1342,0.0
1289,5.2065577435026515,4.670385423067353,5.672025652269216,2,8,0.0
1296,0.9206801411014426,0.33459870748054527,1.3345987074805454,1,1229,0.0
1297,2.7612994350282487,2.166666666666667,3.1666666666666674,1,118,0.0
1314,2.131634483880018,1.8550037432310922,2.615521713918038,2,20,0.0
1325,0.2792207792207793,0.0,0.8181818181818181,1,994,0.0
1343,0.5344583539176174,0.2489569660544896,0.7285391095412995,2,62,0.0
1357,0.7116875628968217,0.12560612927592454,1.1256061292759247,1,1229,0.0
1367,1.7612994350282487,1.1666666666666667,2.166666666666667,1,118,0.0
1374,7.768437225636523,7.147058823529414,8.147058823529411,1,134,0.0
1401,2.2368529891601754,1.6986062717770043,2.6986062717770043,1,1369,0.0
1406,1.3724105461393603,0.7777777777777779,1.7777777777777775,1,118,0.0
1430,1.4920596033960434,0.9733894813589956,1.8477973638287748,2,660,0.0
1439,1.7046230240033808,1.1663763066202095,2.1663763066202097,1,1369,0.0
1441,0.28100942501187426,0.0648281176233504,0.6263773418733853,2,743,0.0
1455,1.6501883239171373,1.0555555555555556,2.055555555555556,1,118,0.0
1459,3.5179234042154963,3.0974389190166858,3.866673702576735,2,372,0.0
1498,1.4101979368953668,0.8719512195121957,1.871951219512196,1,1369,0.0
1503,0.6514351470820001,0.1428224950409508,1.1428224950409507,1,1786,0.0
1540,18.18079110883116,17.723024567882103,18.55461943945737,2,39,0.0
1541,8.856672519754172,8.23529411764706,9.23529411764706,1,134,0.0
1549,1.6976543828883977,1.1594076655052266,2.159407665505227,1,1369,0.0
1558,1.129188777630314,0.7087621251167417,1.5276104706370668,2,8,0.0
1559,2.217689226093973,1.679442508710802,2.6794425087108023,1,1369,0.0
1560,0.7057438794726931,0.11111111111111119,1.111111111111111,1,118,0.0
1562,1.9279661016949152,1.3333333333333335,2.3333333333333335,1,118,0.0
1565,1.240629155406287,0.7805995314953217,1.4638362472852484,2,39,0.0
1567,1.8258500308462644,1.499468012215189,2.377055871290423,2,664,0.0
1568,22.032540180181773,21.579534622484402,22.420349796529283,2,39,0.0
1570,0.35696077146061855,0.17687074829931973,1.1768707482993197,1,467,0.0
1572,1.4271484213206849,0.8944497981786677,1.7977675834554807,2,660,0.0
1573,1.9279661016949152,1.3333333333333335,2.3333333333333335,1,118,0.0
1574,7.13747643378814,6.897395823942632,7.430725241828493,2,116,0.0
1579,7.1519570708067,6.9118313925199315,7.444873259582257,2,116,0.0
1584,1.9302939853578542,1.6260266796788525,2.2195511715946297,2,16,0.0
1585,7.060301390942798,6.477473465993317,7.39121258849551,2,83,0.0
1597,1.2335858585858586,0.5416666666666667,1.5416666666666667,1,99,0.0
1604,6.650790166812993,6.029411764705882,7.029411764705882,1,134,0.0
1608,2.1836734693877546,1.9999999999999996,2.999999999999999,1,49,0.0
1619,5.150790166812993,4.529411764705881,5.529411764705882,1,134,0.0
1626,39.966256641158914,39.72176516031206,40.48020576557795,2,8,0.0
1633,0.7760380538863545,0.18995662026545726,1.1899566202654572,1,1229,0.0
1634,1.6501883239171373,1.0555555555555556,2.055555555555556,1,118,0.0
1636,39.990801085315425,39.746324901017644,40.50661710648971,2,8,0.0
1638,0.8565335005624984,0.2704520669416012,1.270452066941601,1,1229,0.0
1639,10.651159987080616,10.254538290706,11.043348928452616,2,9,0.0
1642,0.3307309544728105,0.09203089427049795,0.6010708575822619,2,96,0.0
1643,7.503731343283583,6.882352941176472,7.882352941176472,1,134,0.0
1665,0.518977387277868,0.304798663443533,1.0061796714856495,2,62,0.0
1671,8.709613696224759,8.088235294117647,9.088235294117647,1,134,0.0
1676,6.386084284460053,5.764705882352941,6.764705882352941,1,134,0.0
1696,2.107062048393624,1.5688153310104538,2.568815331010453,1,1369,0.0
1720,1.8825974731470416,1.4790199457749045,2.4122085316157897,2,7,0.0
1759,2.017364879531148,1.4705882352941175,2.4705882352941173,1,542,0.0
1811,0.4212235491305258,0.35135135135135126,1.351351351351351,1,86,0.0
1812,5.897421866344262,5.71591775462007,6.4251998083245105,2,61,0.0
1813,19.962940994043056,19.507227406641427,20.34297713229533,2,39,0.0
1816,5.870893537596187,5.689277024409876,6.397849662482704,2,61,0.0
1922,1.8177325282099102,1.6093244942163734,2.2657392443964786,2,47,0.0
1923,1.5333242768896376,0.9472428432687402,1.94724284326874,1,1229,0.0
1931,2.5486723959768245,2.1392859358042378,2.9706110467456774,2,8,0.0
1956,0.7639409126801665,0.1935756037957068,1.028193375209915,2,96,0.0
